instrument,tier,solexs_start,solexs_peak,solexs_stop,solexs_peak_flux,goes_class,goes_letter,duration_min,impulsive,baseline_flux,enhancement,goes_match,goes_class_official,goes_peak_official,peak_time_error_min,neupert_lead_min,deriv_peak_time,hel1os_detected,hel1os_peak,hel1os_peak_flux,hel1os_lead_min,dual_confirmed,source,nci,impulsive_duration_s
SoLEXS,B,2024-10-05 09:21:09.000663,2024-10-05 09:38:08.000663,2024-10-05 09:38:36.000663,1.9988411724608043e-05,M2.0,M,17.466666666666665,True,9.806884798909338e-06,2.038201950412534,True,M1.5,2024-10-05 09:43:00,-4.866655616666667,17.183333333333334,2024-10-05 09:20:57.000663,False,,,,False,SoLEXS-only,0.5666555811729169,1020.0
SoLEXS,B,2024-10-05 12:37:37.000663,2024-10-05 12:43:42.000663,2024-10-05 12:48:08.000663,1.1896387184730743e-05,M1.2,M,10.533333333333333,False,5.361281526925699e-06,2.218944691671964,False,,,,19.283333333333335,2024-10-05 12:24:25.000663,False,,,,False,SoLEXS-only,0.5406630647481321,366.0
SoLEXS,B,2024-10-05 13:54:34.000663,2024-10-05 13:57:06.000663,2024-10-05 14:03:47.000663,3.167552828902522e-05,M3.2,M,9.233333333333333,True,1.3226789366053169e-05,2.3948009915634647,False,,,,2.966666666666667,2024-10-05 13:54:08.000663,False,,,,False,SoLEXS-only,0.9250240784535964,153.0
SoLEXS,B,2024-10-05 14:07:53.000663,2024-10-05 14:14:10.000663,2024-10-05 14:18:29.000663,3.549965916837083e-05,M3.5,M,10.616666666666667,True,1.3534423994546695e-05,2.6229161420297156,True,M3.2,2024-10-05 14:14:00,0.16667771666666667,20.033333333333335,2024-10-05 13:54:08.000663,False,,,,False,SoLEXS-only,0.6380113392346163,378.0
SoLEXS,B,2024-10-05 19:00:26.000663,2024-10-05 19:01:18.000663,2024-10-05 19:02:20.000663,1.1558963871847309e-05,M1.2,M,1.9166666666666667,False,5.603885480572598e-06,2.0626695373985817,False,,,,1.9833333333333334,2024-10-05 18:59:19.000663,False,,,,False,SoLEXS-only,0.70139426599517,53.0
SoLEXS,B,2024-10-05 21:24:00.000663,2024-10-05 21:25:05.000663,2024-10-05 21:26:55.000663,1.7675528289025223e-05,M1.8,M,2.933333333333333,True,7.432106339468303e-06,2.378266332810537,False,,,,1.1,2024-10-05 21:23:59.000663,False,,,,False,SoLEXS-only,0.9255973773010562,66.0
SoLEXS,B,2024-10-05 23:06:25.000663,2024-10-05 23:10:36.000663,2024-10-05 23:31:35.000663,1.9913428766189502e-05,M2.0,M,25.183333333333334,True,6.183980913428766e-06,3.220163361589083,False,,,,2.6333333333333333,2024-10-05 23:07:58.000663,False,,,,False,SoLEXS-only,0.8326348412896959,252.0
SoLEXS,B,2024-10-06 02:06:43.000663,2024-10-06 02:10:03.000663,2024-10-06 02:13:03.000663,2.2686434901158827e-05,M2.3,M,6.35,True,8.384389911383777e-06,2.705794356051675,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-06 03:38:05.000663,2024-10-06 03:40:02.000663,2024-10-06 03:43:18.000663,1.76291751874574e-05,M1.8,M,5.233333333333333,True,7.557532379004772e-06,2.3326628723989575,False,,,,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-06 04:43:12.000663,2024-10-06 04:50:26.000663,2024-10-06 04:55:47.000663,6.629788684389912e-05,M6.6,M,24.05,True,7.73940013633265e-06,8.566282357293218,True,M6.6,2024-10-06 04:50:00,0.4333443833333333,,,False,,,,False,SoLEXS-only,,0.0
SoLEXS,B,2024-10-06 05:45:28.000663,2024-10-06 05:47:46.000663,2024-10-06 05:50:20.000663,1.892501704158146e-05,M1.9,M,4.883333333333334,True,8.71813224267212e-06,2.1707650807302867,False,,,,3.783333333333333,2024-10-06 05:43:59.000663,False,,,,False,SoLEXS-only,0.7946426044135385,139.0
SoLEXS,B,2024-10-06 07:04:14.000663,2024-10-06 07:08:48.000663,2024-10-06 07:09:22.000663,1.7081799591002043e-05,M1.7,M,5.15,True,8.227675528289026e-06,2.0761391880695936,False,,,,5.75,2024-10-06 07:03:03.000663,False,,,,False,SoLEXS-only,0.5529754709809732,275.0
SoLEXS,B,2024-10-06 07:12:19.000663,2024-10-06 07:16:44.000663,2024-10-06 07:16:52.000663,1.9677573278800273e-05,M2.0,M,4.566666666666666,False,9.701499659168372e-06,2.028302218224998,False,,,,13.683333333333334,2024-10-06 07:03:03.000663,False,,,,False,SoLEXS-only,0.6171952485096007,266.0
