peak_time,goes_class,goes_letter,duration_min,early_max,early_mean,early_std,rise_30s,rise_60s,rise_3m,deriv_max,deriv_mean,flux_integral,accel_max,target_class
2024-10-06 20:50:33.000663,M2.9,M,4.45,2.9359918200409e-05,2.1298378275550483e-05,5.523268489455229e-06,0.44984150207266527,0.9427944403803952,0.5503535722994393,2.6889343331061104e-07,-1.3749666797936873e-09,0.006410811860940695,6.625766871165662e-09,2
2024-10-06 22:14:45.000663,M2.5,M,8.133333333333333,2.510838445807771e-05,2.125344964637303e-05,3.4045696108032046e-06,0.43617387315059075,0.8584700080284439,1.000573460259204,1.9845489661440586e-07,2.0990981447535717e-08,0.006397288343558283,3.476482617586941e-09,2
2024-10-07 14:46:22.000663,M1.2,M,13.766666666666667,9.750511247443763e-06,8.302343698691252e-06,7.457272079091758e-07,0.029536270925534104,0.06955936116990583,0.18693477005964987,2.1904112701658745e-08,8.928518088768434e-09,0.0024990054533060666,1.0497614178595833e-09,2
2024-10-07 15:57:17.000663,M1.1,M,1.95,1.112474437627812e-05,1.0435768524368895e-05,5.564453762826116e-07,0.013508395404620671,0.02891049109960861,-0.04551193031182936,1.2610770279481761e-08,-4.485776268863245e-09,0.0031411663258350377,9.467545254867022e-10,2
2024-10-07 17:44:43.000663,C9.1,C,6.283333333333333,9.056578050443081e-06,8.318350329621553e-06,4.3407887374222185e-07,0.014647837908955512,0.028857117796684477,0.07104639943864592,1.7859577368779792e-08,3.371057979147355e-09,0.0025038234492160876,9.316064530788512e-10,1
2024-10-07 20:02:49.000663,M1.1,M,9.933333333333334,1.0754601226993866e-05,1.0563056116059398e-05,1.7310313331513804e-07,0.020297699594045992,0.02496617050067647,0.05588633288227331,2.5221540558963522e-08,2.357877695163759e-09,0.0031794798909338786,1.0179504658032193e-09,2
2024-10-08 14:20:23.000663,M2.7,M,7.616666666666666,2.6774369461486027e-05,2.315219887355713e-05,3.1606669761700026e-06,0.31331504739906635,0.6397670949424953,0.7703671623117269,1.655532833446942e-07,2.182052176545114e-08,0.006968811860940696,3.332575929712968e-09,2
2024-10-08 17:23:10.000663,C8.2,C,3.5166666666666666,8.216087252897069e-06,7.840044659134402e-06,2.362738928259458e-07,0.024913556166326806,0.034311552442592395,0.0321837042290982,1.9597818677573117e-08,-8.329971662550149e-10,0.002359853442399455,1.1088389002499497e-09,1
2024-10-08 23:20:00.000663,M1.0,M,7.95,1.0121336059986368e-05,8.355275643333854e-06,1.1183625410460124e-06,0.3875184722064341,0.6477208139138343,0.36728430146640906,8.31629175187458e-08,4.721636308321914e-09,0.00251493796864349,9.088843444671715e-10,2
2024-10-09 07:24:08.000663,X4.7,X,39.25,2.8866394001363325e-05,1.441876770682592e-05,6.6820001018487245e-06,0.1816990349100442,0.4245204336947459,1.6181341594185632,1.4714837536923392e-07,7.46696332301114e-08,0.004340049079754602,3.0220404453533056e-09,3
